Floors,YearBuilt,Address,type
1,1988,57 4 AVENUE,Commercial
1,1977,104 1 AVENUE,Residential
1,1976,6 TARAS SHEVCHENKO PL,Residential
1,1969,46 2 AVENUE,Commercial
1,1969,52 AVENUE A,Residential
1,1965,540 EAST 13 STREET,Residential
1,1951,223 AVENUE A,Commercial
1,1951,188 EAST 2 STREET,Residential
1,1950,131 1 AVENUE,Residential
1,1949,206 EAST 11 STREET,Residential
1,1940,548 EAST 13 STREET,Residential
1,1940,338 EAST 9 STREET,Residential
1,1935,532 EAST 12 STREET,PARK
1,1920,118 3 AVENUE,Commercial
1,1920,300 EAST 14 STREET,Commercial
1,1920,3 ST MARKS PLACE,Commercial
1,1920,238A EAST 9 STREET,Residential
1,1920,85 EAST 2 STREET,Residential
1,1920,79 EAST 4 STREET,Residential
1,1920,107 EAST 7 STREET,Residential
1,1920,323 EAST 6 STREET,Residential
1,1920,79 1 AVENUE,Residential
1,1920,162 EAST 4 STREET,Residential
1,1914,526 EAST 13 STREET,Residential
1,1910,71 4 AVENUE,Commercial
1,1910,173 EAST 2 STREET,Residential
1,1900,25 3 AVENUE,Commercial
1,1900,120 3 AVENUE,Commercial
1,1900,200 AVENUE B,Residential
1,1900,408 EAST 11 STREET,Residential
1,1900,20 EAST 2 STREET,Residential
1,1900,66 EAST 1 STREET,Residential
1,1900,112 EAST 4 STREET,Residential
1,1988,57 4 AVENUE,Commercial
1,1977,104 1 AVENUE,Residential
1,1976,6 TARAS SHEVCHENKO PL,Residential
1,1969,46 2 AVENUE,Commercial
1,1969,52 AVENUE A,Residential
1,1965,540 EAST 13 STREET,Residential
1,1951,223 AVENUE A,Commercial
1,1951,188 EAST 2 STREET,Residential
1,1950,131 1 AVENUE,Residential
1,1949,206 EAST 11 STREET,Residential
1,1940,548 EAST 13 STREET,Residential
1,1940,338 EAST 9 STREET,Residential
1,1935,532 EAST 12 STREET,PARK
1,1920,118 3 AVENUE,Commercial
1,1920,300 EAST 14 STREET,Commercial
1,1920,3 ST MARKS PLACE,Commercial
1,1920,238A EAST 9 STREET,Residential
1,1920,85 EAST 2 STREET,Residential
1,1920,79 EAST 4 STREET,Residential
1,1920,107 EAST 7 STREET,Residential
1,1920,323 EAST 6 STREET,Residential
