Address,type,Areas,Floors,YearBuilt
25 3 AVENUE,Commercial,2960,1,1900
120 3 AVENUE,Commercial,4112,1,1900
200 AVENUE B,Residential,1100,1,1900
408 EAST 11 STREET,Residential,2369,1,1900
20 EAST 2 STREET,Residential,2519,1,1900
66 EAST 1 STREET,Residential,3245,1,1900
112 EAST 4 STREET,Residential,7213,1,1900
106 3 AVENUE,Commercial,1500,2,1900
202 AVENUE B,Residential,1100,2,1900
234 EAST 9 STREET,Residential,1192,2,1900
229 EAST 9 STREET,Residential,1450,2,1900
231 EAST 9 STREET,Residential,1633,2,1900
98 AVENUE B,Residential,1844,2,1900
72 EAST 4 STREET,Residential,2404,2,1900
99 EAST 2 STREET,Residential,2950,2,1900
165 2 AVENUE,Residential,36537,2,1900
38 EAST 3 STREET,Commercial,1288,3,1900
82 EAST 10 STREET,Commercial,1420,3,1900
249 EAST 13 STREET,Commercial,1495,3,1900
84 EAST 10 STREET,Commercial,1865,3,1900
90 EAST 10 STREET,Commercial,1874,3,1900
88 EAST 10 STREET,Commercial,1952,3,1900
336 EAST 14 STREET,Commercial,6195,3,1900
126 EAST 13 STREET,Commercial,7167,3,1900
45 EAST 3 STREET,Residential,962,3,1900
402 EAST 9 STREET,Residential,1000,3,1900
305 EAST 12 STREET,Residential,1087,3,1900
164 AVENUE A,Residential,1176,3,1900
138 1 AVENUE,Residential,1200,3,1900
212 EAST 9 STREET,Residential,1350,3,1900
30 EAST 3 STREET,Residential,1357,3,1900
65 EAST 2 STREET,Residential,1407,3,1900
11 AVENUE A,Residential,1500,3,1900
410 EAST 9 STREET,Residential,1556,3,1900
210 EAST 9 STREET,Residential,1575,3,1900
315 EAST 6 STREET,Residential,1635,3,1900
14 EAST 2 STREET,Residential,1650,3,1900
172 1 AVENUE,Residential,1669,3,1900
100 EAST 4 STREET,Residential,1803,3,1900
102 EAST 4 STREET,Residential,1803,3,1900
64 EAST 3 STREET,Residential,1890,3,1900
21 STUYVESANT STREET,Residential,2065,3,1900
311 EAST 12 STREET,Residential,2065,3,1900
118 EAST 1 STREET,Residential,2116,3,1900
121 EAST 7 STREET,Residential,2145,3,1900
24 1 AVENUE,Residential,2287,3,1900
404 EAST 11 STREET,Residential,2369,3,1900
217 EAST 12 STREET,Residential,2581,3,1900
215 EAST 12 STREET,Residential,2581,3,1900
70 EAST 4 STREET,Residential,2708,3,1900
20 ST MARKS PLACE,Residential,3120,3,1900
3 EAST 3 STREET,Residential,3847,3,1900
137 2 AVENUE,Residential,5980,3,1900
355 BOWERY,Commercial,3060,3.5,1900
4 ST MARKS PLACE,Commercial,3120,3.5,1900
37 EAST 7 STREET,Residential,1875,3.5,1900
140 EAST 13 STREET,Commercial,1020,4,1900
349 EAST 13 STREET,Commercial,1038,4,1900
233 1 AVENUE,Commercial,1200,4,1900
231 1 AVENUE,Commercial,1200,4,1900
229 1 AVENUE,Commercial,1200,4,1900
216 AVENUE B,Commercial,1251,4,1900
36 EAST 2 STREET,Commercial,1635,4,1900
357 BOWERY,Commercial,1662,4,1900
218 AVENUE B,Commercial,1734,4,1900
325 BOWERY,Commercial,1770,4,1900
58 3 AVENUE,Commercial,1849,4,1900
327 BOWERY,Commercial,1877,4,1900
63 4 AVENUE,Commercial,1967,4,1900
222 AVENUE B,Commercial,1995,4,1900
29 2 AVENUE,Commercial,2277,4,1900
218 AVENUE A,Commercial,2472,4,1900
539 EAST 13 STREET,Commercial,2581,4,1900
531 EAST 13 STREET,Commercial,2581,4,1900
109 EAST 12 STREET,Commercial,2581,4,1900
113 EAST 12 STREET,Commercial,2663,4,1900
