budget,release_date,revenue,title,Vote_Average
237000000,1931,2787965087,Avatar,0
65000000,1931,422610419,300,0
35000000,1931,126216940,L.A. Confidential,0
25000000,1931,92991835,Michael Clayton,0
12000000,1931,0,Harriet the Spy,0
0,1931,0,Aberdeen,0
13500000,1931,187674,Stonewall,0
300000000,1914,961000000,Pirates of the Caribbean: At World's End,25
245000000,1927,880674609,Spectre,25
250000000,1989,1084939099,The Dark Knight Rises,25
80000000,1914,516642939,Meet the Fockers,25
60000000,1927,244082376,Marley & Me,25
60000000,1989,284600000,The Green Mile,25
35000000,1914,86369815,Sky High,25
35000000,1927,0,In & Out,25
35000000,1989,113374103,Species,25
0,1914,0,My Fellow Americans,25
21500000,1927,0,Arlington Road,25
22000000,1989,24000000,Underdogs,25
13000000,1914,35763605,Child's Play 2,25
13200000,1927,53830415,No Good Deed,25
18000000,1989,57096190,The Mist,25
6500000,1914,1521261,The Messenger,25
6500000,1927,0,Tracker,25
0,1989,8159508,Control,25
7000000,1914,1100000,Roadside Romeo,25
0,1927,0,This Thing of Ours,25
0,1989,0,The Lost Medallion: The Adventures of Billy Stone,25
260000000,1992,284139100,John Carter,26.92
0,1992,253625427,Wild Hogs,26.92
1800000,1992,25504513,A Nightmare on Elm Street,26.92
17000000,1992,73244881,To Rome with Love,26.92
15000000,1992,36869414,Ex Machina,26.92
6400000,1992,78371200,The Terminator,26.92
0,1992,0,The Last Five Years,26.92
258000000,1920,890871626,Spider-Man 3,33.67
150000000,1920,314432665,Chicken Little,33.67
33000000,1920,104155843,The Cell,33.67
18000000,1920,70687344,Firefox,33.67
13000000,1920,22863596,Being John Malkovich,33.67
4800000,1920,79384880,"Good bye, Lenin!",33.67
0,1920,0,The Missing Person,33.67
260000000,1901,591794936,Tangled,40
61000000,1901,369330363,Gone Girl,40
0,1901,0,The Man in the Iron Mask,40
21000000,1901,0,"South Park: Bigger, Longer & Uncut",40
6000000,1901,0,Two Can Play That Game,40
10000000,1901,0,The Damned United,40
2000000,1901,54207,Return of the Living Dead 3,40
280000000,1920,1405403694,Avengers: Age of Ultron,40.42
60000000,1920,214034224,The Bourne Identity,40.42
35000000,1920,60251371,Secretariat,40.42
9000000,1920,46,Death at a Funeral,40.42
13000000,1920,45300000,Earth to Echo,40.42
4000000,1920,14237000,The Return of the Living Dead,40.42
0,1920,0,London,40.42
250000000,1910,933959197,Harry Potter and the Half-Blood Prince,50
250000000,1910,873260194,Batman v Superman: Dawn of Justice,50
270000000,1914,391081192,Superman Returns,50
200000000,1916,586090727,Quantum of Solace,50
200000000,1917,1065659812,Pirates of the Caribbean: Dead Man's Chest,50
255000000,1920,89289910,The Lone Ranger,50
225000000,1920,662845518,Man of Steel,50
225000000,1923,419651413,The Chronicles of Narnia: Prince Caspian,50
220000000,1925,1519557910,The Avengers,50
380000000,1925,1045713802,Pirates of the Caribbean: On Stranger Tides,50
225000000,1925,624026776,Men in Black 3,50
250000000,1925,956019788,The Hobbit: The Battle of the Five Armies,50
215000000,1927,752215857,The Amazing Spider-Man,50
200000000,1930,310669540,Robin Hood,50
250000000,1930,958400000,The Hobbit: The Desolation of Smaug,50
180000000,1990,372234864,The Golden Compass,50
207000000,1999,550000000,King Kong,50
58000000,1910,352194034,GoldenEye,50
60000000,1910,149705852,The General's Daughter,50
60000000,1914,264118201,The Truman Show,50
70000000,1916,218613188,The Prince of Egypt,50
60000000,1917,164433867,Daddy Day Care,50
61000000,1920,131940411,2 Guns,50
60000000,1920,93375151,Cats & Dogs,50
60000000,1923,176070171,The Italian Job,50
60000000,1925,93354918,Two Weeks Notice,50
60000000,1925,171757863,Antz,50
70000000,1925,171844840,Couples Retreat,50
60000000,1925,157920733,Days of Thunder,50
60000000,1927,129181830,Cheaper by the Dozen 2,50
61000000,1930,311256926,Maze Runner: The Scorch Trials,50
60000000,1930,204594016,Eat Pray Love,50
60000000,1990,0,The Family Man,50
58000000,1999,71664962,RED,50
34000000,1910,95608995,TMNT,50
32000000,1910,52277485,Radio,50
35000000,1914,150483765,Friends with Benefits,50
35000000,1916,108758521,Neighbors 2: Sorority Rising,50
35000000,1917,112544580,Saving Mr. Banks,50
34000000,1920,48169908,Malcolm X,50
35000000,1920,88058786,This Is 40,50
35000000,1923,92219310,Old Dogs,50
35000000,1925,91353501,Underworld: Rise of the Lycans,50
35000000,1925,69307224,License to Wed,50
0,1925,0,The Benchwarmers,50
30000000,1925,58405313,Must Love Dogs,50
35000000,1927,41954997,Donnie Brasco,50
33000000,1930,102984862,Resident Evil,50
10700000,1930,122200000,Poltergeist,50
0,1990,0,The Ladykillers,50
35000000,1999,85416905,Max Payne,50
21000000,1910,42000000,Teenage Mutant Ninja Turtles III,50
32000000,1910,40222729,Hardball,50
21000000,1914,205738714,Silver Linings Playbook,50
21000000,1916,41170784,Freedom Writers,50
0,1917,37000000,For Colored Girls,50
21000000,1920,43928932,The Transporter,50
20000000,1920,41627431,Never Back Down,50
21000000,1923,17762705,The Rage: Carrie 2,50
17000000,1925,14899417,Away We Go,50
21000000,1925,17600000,Swing Vote,50
21000000,1925,10011050,Moonlight Mile,50
30000000,1925,0,Tinker Tailor Soldier Spy,50
0,1927,0,Molly,50
21000000,1930,970816,The Beaver,50
35000000,1930,69701637,The Best Little Whorehouse in Texas,50
15000000,1990,2856712,eXistenZ,50
18000000,1999,389925971,Raiders of the Lost Ark,50
13000000,1910,16929123,Crazy/Beautiful,50
19000000,1910,68673228,Letters from Iwo Jima,50
13000000,1914,11130889,The Astronaut Farmer,50
13000000,1916,8026971,Woo,50
6000000,1917,35401758,Room,50
0,1920,0,Dirty Work,50
13000000,1920,7820688,Serial Mom,50
13000000,1923,27500000,Dick,50
0,1925,0,Light It Up,50
13000000,1925,16757163,54,50
0,1925,0,Bubble Boy,50
13000000,1925,0,Birthday Girl,50
